Name,Voltage,Capacity,Energy,Thickness,Width,Length,Impedance,Tab Width,Tab Distance,Current,Weight,Note,Power,cap/gram,wh/gram,Duration
AFPG804,3,165,495,2.5,20,,,,,,2.3,,6.9,71.73913043,215.2173913,3.3
HCP381920,3.7,90,333,3.8,19.5,20,300,2,8,12.33333333,2.31,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",45.63333333,38.96103896,144.1558442,2.22
HCP302222,3.7,100,370,3,22.5,22.5,260,2,8,14.23076923,2.37,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",52.65384615,42.19409283,156.1181435,2.466666667
HCP661515,3.7,85,314.5,6.6,15,15.5,390,3,7,9.487179487,2.39,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",35.1025641,35.56485356,131.5899582,2.096666667
HCP431035,3.7,110,407,4.3,10.5,35.5,270,2,4.5,13.7037037,2.4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",50.7037037,45.83333333,169.5833333,2.713333333
?401430H,3.7,120,444,4,14,30,,,,#DIV/0!,2.4,,#DIV/0!,50,185,2.96
401430,3.7,100,370,3.9,14,30,,,,#DIV/0!,2.4,,#DIV/0!,41.66666667,154.1666667,2.466666667
?401528,3.7,100,370,4,15,28,,,,#DIV/0!,2.4,,#DIV/0!,41.66666667,154.1666667,2.466666667
HCP302323,3.7,130,481,3,23.5,23.5,200,3,13.5,18.5,2.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,52,192.4,3.206666667
HCP701522,3.7,130,481,7,15.5,22.5,200,2,5,18.5,2.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,52,192.4,3.206666667
HCP252525,3.7,95,351.5,2.5,25.5,25.5,280,3,15,13.21428571,2.54,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",48.89285714,37.4015748,138.3858268,2.343333333
HCP401135,3.7,120,444,4,12,35.5,220,2,5.3,16.81818182,2.6,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",62.22727273,46.15384615,170.7692308,2.96
BR2032,3,200,600,,,,,,,#DIV/0!,2.6,,#DIV/0!,76.92307692,230.7692308,4
HCP481624,3.7,120,444,4.8,16.5,24.5,200,2,5,18.5,2.62,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,45.80152672,169.4656489,2.96
HCP491132,3.7,145,536.5,4.9,11.8,32,200,2,5.5,18.5,2.8,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,51.78571429,191.6071429,3.576666667
?401235,3.7,120,444,4,11.5,34.5,,,,#DIV/0!,2.8,,#DIV/0!,42.85714286,158.5714286,2.96
HCP402025,3.7,140,518,3.9,20,25,70,2,9.5,52.85714286,2.9,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",195.5714286,48.27586207,178.6206897,3.453333333
CP1654,3.7,155,573.5,5.4,16.1,,,,,,3,,11.1,51.66666667,191.1666667,3.823333333
HCP262332,3.7,155,573.5,2.6,23.5,32.5,200,2,14.1,18.5,3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,51.66666667,191.1666667,3.823333333
HCP402025,3.7,155,573.5,4,20.5,25.5,200,3,9.5,18.5,3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,51.66666667,191.1666667,3.823333333
?501430,3.7,155,573.5,5,14,30,,,,#DIV/0!,3,,#DIV/0!,51.66666667,191.1666667,3.823333333
?451430,3.7,130,481,4.5,14,30,,,,#DIV/0!,3,,#DIV/0!,43.33333333,160.3333333,3.206666667
HCP442022,3.7,150,555,4.4,20.5,22.5,180,3,9.5,20.55555556,3.04,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",76.05555556,49.34210526,182.5657895,3.7
HCP272332,3.7,165,610.5,2.7,23.5,32.5,180,3,14,20.55555556,3.09,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",76.05555556,53.39805825,197.5728155,4.07
HCP252530,3.7,150,555,2.7,25.5,30.5,170,3,15,21.76470588,3.1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",80.52941176,48.38709677,179.0322581,3.7
HCP621919,3.7,150,555,6.2,19.5,19.5,150,2,7,24.66666667,3.1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,48.38709677,179.0322581,3.7
?402223,3.7,140,518,4,22,23,,,,#DIV/0!,3.1,,#DIV/0!,45.16129032,167.0967742,3.453333333
?302030,3.7,120,444,3,20,30,,,,#DIV/0!,3.1,,#DIV/0!,38.70967742,143.2258065,2.96
HCP601818,3.7,135,499.5,6,18,18.5,180,3,8,20.55555556,3.12,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",76.05555556,43.26923077,160.0961538,3.33
?402025,3.7,130,481,4,20,25,,,,#DIV/0!,3.2,,#DIV/0!,40.625,150.3125,3.206666667
HCP452023,3.7,150,555,4.5,20.5,23.5,200,2,9.5,18.5,3.3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,45.45454545,168.1818182,3.7
HCP501235,3.7,150,555,5,12.5,35,200,2,5.3,18.5,3.3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,45.45454545,168.1818182,3.7
HCP422025,3.7,150,555,4.2,20.5,25.5,170,3,9,21.76470588,3.3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",80.52941176,45.45454545,168.1818182,3.7
HCP401440,3.7,190,703,4,14.5,40.5,160,3,6,23.125,3.3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",85.5625,57.57575758,213.030303,4.686666667
HCP292332,3.7,180,666,2.9,23.5,32.5,160,2,14.1,23.125,3.3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",85.5625,54.54545455,201.8181818,4.44
?422025,3.7,140,518,4.2,20,25,,,,#DIV/0!,3.4,,#DIV/0!,41.17647059,152.3529412,3.453333333
?381245,3.7,135,499.5,3.8,12,45,,,,#DIV/0!,3.4,,#DIV/0!,39.70588235,146.9117647,3.33
?352030,3.7,130,481,3.2,20,30,,,,#DIV/0!,3.4,,#DIV/0!,38.23529412,141.4705882,3.206666667
PP255,1.4,720,1008,,,,,,,,3.4,,0,211.7647059,296.4705882,6.72
HCP501232,3.7,145,536.5,5,12.5,32.5,220,4,5.5,16.81818182,3.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",62.22727273,41.42857143,153.2857143,3.576666667
HCP801223,3.7,155,573.5,8,12.5,23.5,170,2,7.5,21.76470588,3.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",80.52941176,44.28571429,163.8571429,3.823333333
HCP282730,3.7,200,740,2.8,27.5,30.5,160,2,16.5,23.125,3.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",85.5625,57.14285714,211.4285714,4.933333333
?451235,3.7,130,481,4.3,12,35,,,,#DIV/0!,3.5,,#DIV/0!,37.14285714,137.4285714,3.206666667
HCP232634,3.7,150,555,2.3,28.5,34.5,260,2,17,14.23076923,3.53,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",52.65384615,42.49291785,157.223796,3.7
HCP382030,3.7,190,703,3.8,20.5,30.5,150,3,9,24.66666667,3.53,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,53.82436261,199.1501416,4.686666667
HCP402030,3.7,180,666,4,20.5,30.5,130,3,9,28.46153846,3.6,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",105.3076923,50,185,4.44
?502223,3.7,160,592,5,22,23,,,,#DIV/0!,3.6,,#DIV/0!,44.44444444,164.4444444,3.946666667
HCP371058,3.7,160,592,3.7,10.8,58.5,250,3,4.5,14.8,3.65,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",54.76,43.83561644,162.1917808,3.946666667
HCP481435,3.7,200,740,4.8,14.5,35.5,160,2,8.7,23.125,3.7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",85.5625,54.05405405,200,4.933333333
?401730,3.7,160,592,4,17,30,,,,#DIV/0!,3.7,,#DIV/0!,43.24324324,160,3.946666667
HCP302533,3.7,210,777,3,25.5,33.5,160,2,12,23.125,3.8,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",85.5625,55.26315789,204.4736842,5.18
?502025,3.7,180,666,5,20,25,,,,#DIV/0!,3.8,,#DIV/0!,47.36842105,175.2631579,4.44
?382030,3.7,170,629,3.8,20,30,,,,#DIV/0!,3.8,,#DIV/0!,44.73684211,165.5263158,4.193333333
?551235,3.7,150,555,5.5,12,34.8,,,,#DIV/0!,3.8,,#DIV/0!,39.47368421,146.0526316,3.7
?501235,3.7,140,518,5,12,35,,,,#DIV/0!,3.8,,#DIV/0!,36.84210526,136.3157895,3.453333333
?301445,3.7,110,407,3,14,45,,,,#DIV/0!,3.8,,#DIV/0!,28.94736842,107.1052632,2.713333333
4021,3.67,350,1284.5,,,,,,,8,3.9,,29.36,89.74358974,329.3589744,8.563333333
HCP402525,3.7,200,740,4,25.5,25.5,150,2,9,24.66666667,3.9,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,51.28205128,189.7435897,4.933333333
?401445,3.7,170,629,4,14,45,,,,#DIV/0!,3.9,,#DIV/0!,43.58974359,161.2820513,4.193333333
HCP263128,3.7,180,666,2.8,31.5,28.5,200,2,22,18.5,3.92,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,45.91836735,169.8979592,4.44
